,cuisine,c,restaurant_address,address
1650,82,Desserts,20,"Indiranagar, Bangalore"
1653,46, Pancake,20,"Indiranagar, Bangalore"
1655,13, Cafe,20,"Indiranagar, Bangalore"
1657,66, Wraps,20,"Indiranagar, Bangalore"
1658,111,South Indian,3,"Banashankari, Bangalore"
1660,15, Chinese,3,"Banashankari, Bangalore"
1661,59, Street Food,3,"Banashankari, Bangalore"
1662,53, Sandwich,3,"Banashankari, Bangalore"
1663,55, Shake,3,"Banashankari, Bangalore"
1665,25, Ice Cream,3,"Banashankari, Bangalore"
1666,69,Arabian,31,"Koramangala 5th Block, Bangalore"
1672,74,Bengali,33,"Koramangala 7th Block, Bangalore"
1673,54, Seafood,33,"Koramangala 7th Block, Bangalore"
1674,80,Chinese,39,"Majestic, Bangalore"
1680,57, Sichuan,39,"Majestic, Bangalore"
1686,42, Momos,20,"Indiranagar, Bangalore"
1692,55, Shake,24,"Jayanagar, Bangalore"
1693,85,Ice Cream,64,"Vasanth Nagar, Bangalore"
1694,42, Momos,64,"Vasanth Nagar, Bangalore"
1697,101,North Indian,43,"New BEL Road, Bangalore"
1698,15, Chinese,43,"New BEL Road, Bangalore"
1699,8, Beverages,43,"New BEL Road, Bangalore"
1700,96,Mithai,60,"St. Marks Road, Bangalore"
1702,40, Mishti,60,"St. Marks Road, Bangalore"
1703,7, Bengali,60,"St. Marks Road, Bangalore"
1704,70,Asian,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1705,17, Continental,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1706,44, North Indian,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1707,58, South Indian,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1708,23, Healthy Food,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1709,8, Beverages,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1710,18, Desserts,53,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
1711,110,Shawarma,55,"Sanjay Nagar, Bangalore"
1712,20, Fast Food,55,"Sanjay Nagar, Bangalore"
1713,35, Lebanese,55,"Sanjay Nagar, Bangalore"
1714,18, Desserts,55,"Sanjay Nagar, Bangalore"
1715,8, Beverages,55,"Sanjay Nagar, Bangalore"
1717,98,Mughlai,58,"Shivajinagar, Bangalore"
1718,44, North Indian,58,"Shivajinagar, Bangalore"
1720,101,North Indian,38,"MG Road, Bangalore"
1722,4, Asian,38,"MG Road, Bangalore"
1723,17, Continental,38,"MG Road, Bangalore"
1726,18, Desserts,38,"MG Road, Bangalore"
1729,80,Chinese,18,"HBR Layout, Bangalore"
1731,114,Tibetan,33,"Koramangala 7th Block, Bangalore"
1733,4, Asian,33,"Koramangala 7th Block, Bangalore"
1734,42, Momos,33,"Koramangala 7th Block, Bangalore"
1735,57, Sichuan,33,"Koramangala 7th Block, Bangalore"
1741,80,Chinese,33,"Koramangala 7th Block, Bangalore"
1743,62, Thai,33,"Koramangala 7th Block, Bangalore"
1746,60, Sushi,33,"Koramangala 7th Block, Bangalore"
1748,90,Kerala,60,"St. Marks Road, Bangalore"
