,Restaurant_id,name,urls,ratings,price for one,cuisine,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
71,R15,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,4.5,200, Desserts,2662,"Brigade Road, Bangalore",12.97046862,77.60667756
72,R15,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,4.5,200, Street Food,2662,"Brigade Road, Bangalore",12.97046862,77.60667756
73,R16,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,4.2,200,Burger,3582,"Frazer Town, Bangalore",12.99772551,77.61095837
74,R16,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,4.2,200, Fast Food,3582,"Frazer Town, Bangalore",12.99772551,77.61095837
75,R16,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,4.2,200, Wraps,3582,"Frazer Town, Bangalore",12.99772551,77.61095837
76,R16,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,4.2,200, Street Food,3582,"Frazer Town, Bangalore",12.99772551,77.61095837
77,R16,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,4.2,200, Beverages,3582,"Frazer Town, Bangalore",12.99772551,77.61095837
78,R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4.0,200,Pizza,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
79,R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4.0,200, Pasta,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
80,R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4.0,200, Sandwich,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
81,R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4.0,200, Fast Food,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
82,R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4.0,200, Desserts,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
83,R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4.0,200, Beverages,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
84,R18,Polar Bear,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,4.4,200,Ice Cream,4850,"Basavanagudi, Bangalore",12.94951278,77.57463489
85,R18,Polar Bear,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,4.4,200, Beverages,4850,"Basavanagudi, Bangalore",12.94951278,77.57463489
86,R18,Polar Bear,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,4.4,200, Shake,4850,"Basavanagudi, Bangalore",12.94951278,77.57463489
87,R19,Hari Super Sandwich,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,3.7,200,Fast Food,1504,"Brigade Road, Bangalore",12.97059853,77.60662767
88,R19,Hari Super Sandwich,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,3.7,200, Sandwich,1504,"Brigade Road, Bangalore",12.97059853,77.60662767
89,R19,Hari Super Sandwich,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,3.7,200, Street Food,1504,"Brigade Road, Bangalore",12.97059853,77.60662767
90,R20,Al-Bek,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,4.1,200,Mughlai,34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
91,R20,Al-Bek,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,4.1,200, Arabian,34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
92,R20,Al-Bek,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,4.1,200, North Indian,34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
93,R20,Al-Bek,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,4.1,200, Chinese,34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
94,R20,Al-Bek,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,4.1,200, Seafood,34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
95,R21,La Pino'z Pizza,https://www.zomato.com/bangalore/la-pinoz-pizza-basavanagudi-bangalore/order,3.8,200,Pizza,3582,"Basavanagudi, Bangalore",12.94674912,77.56933719
96,R21,La Pino'z Pizza,https://www.zomato.com/bangalore/la-pinoz-pizza-basavanagudi-bangalore/order,3.8,200, Italian,3582,"Basavanagudi, Bangalore",12.94674912,77.56933719
