Restaurant_id,Name,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
R195,Donne Biriyani Mane,3,"Old Airport Road, Bangalore",12.9534625,77.6528361
R196,Yumlane Pizza,35,"Koramangala 5th Block, Bangalore",12.93470566,77.61609344
R197,New Krishna Sagar,9676,"Indiranagar, Bangalore",12.98024035,77.64617912
R198,The Cake Fancy,104,"Basavanagudi, Bangalore",12.9381798,77.5791002
R199,Siddique Kabab Centre,10600,"Frazer Town, Bangalore",12.99346322,77.60852728
R200,Roti-Wala.Com,42500,"BTM, Bangalore",12.91350926,77.60410398
R201,XO Belgian Waffle,11800,"Building 105, Koramangala 5th Block, Bangalore",12.9343384,77.61602573
R202,Sri Venkateshwara Sweetmeat Stall,612,"Majestic, Bangalore",12.97308467,77.57485785
R203,Ayodhya Sagar,9528,"Basaveshwara Nagar, Bangalore",12.99245766,77.53421836
R204,India Sweet House,124,"Frazer Town, Bangalore",13.0005703,77.61541956
R205,Sweet Truth - Cake and Desserts,56,"Shanti Nagar, Bangalore",12.96188875,77.59438232
R206,Gopaljee Cafe,1625,"Koramangala 7th Block, Bangalore",12.9368981,77.6121217
R207,Mad Over Donuts,1027,"Garuda Mall, Magrath Road, Bangalore",12.97050325,77.60930311
R208,Muthashy's,48000,"BTM, Bangalore",12.92084704,77.61326004
R209,Indraprastha Restaurant,10800,"Vijay Nagar, Bangalore",12.9718562,77.5374236
R210,Cream Stone Ice Cream,938,"Frazer Town, Bangalore",13.0005875,77.6153902
R211,The Momo Co.,286,"Hosur Road, Bangalore",12.93520923,77.60948238
R212,Crusto’s - Cheese Burst Pizza,62,"Koramangala 6th Block, Bangalore",12.94041178,77.62519659
R213,Le Arabia,21500,"Basaveshwara Nagar, Bangalore",12.99855106,77.54233405
R214,New Taj Darbar,6622,"Shivajinagar, Bangalore",12.9853641,77.6052562
R215,Hakka Box,1,"Domlur, Bangalore",12.96609877,77.63807372
R216,Brothers Biriyani,1864,"Basavanagudi, Bangalore",12.94343876,77.54496563
R217,The Dessert Zone,179,"Vasanth Nagar, Bangalore",12.99222179,77.59450167
R218,Mealful Rolls - India's Biggest Rolls,61,"Langford Town, Bangalore",12.961168,77.598239
R219,The Good Bowl,228,"Shanti Nagar, Bangalore",12.96188843,77.59437762
R220,Sri Srinivas Pork Hotel,2666,"Ejipura, Bangalore",12.94867695,77.62745127
R221,Absolute Shawarma,2510,"Thippasandra, Bangalore",12.97223683,77.65378989
R222,Sri Durga Chats & Juice,14000,"Vijay Nagar, Bangalore",12.97248416,77.53884517
R223,Shawarma Time,3354,"RT Nagar, Bangalore",13.00751154,77.59444837
R224,Biryani Blues,785,"Church Street, Bangalore",12.974674,77.605851
R225,TrueCakes,109,"Domlur, Bangalore",12.956318,77.637447
R226,Hotel Karavali Food Point,20700,"Vijay Nagar, Bangalore",12.9729713,77.53990833
R227,Sree Banashankari Donne Biriyani,24700,"Basaveshwara Nagar, Bangalore",12.98874019,77.54557014
R228,Uttam Sagar,16900,"Banaswadi, Bangalore",13.00941931,77.64340874
R229,Toscano,849,"UB City, Bangalore",12.97135175,77.59591989
R230,Donne Biryani Palace,121,"Jayanagar, Bangalore",12.92638834,77.58473514
R231,Kailash Parbat,3729,"Sadashiv Nagar, Bangalore",13.00748541,77.57958222
R232,Dum Biryani Hub,15900,"BTM, Bangalore",12.92399235,77.61259653
R233,Gully Treats,1902,"Basaveshwara Nagar, Bangalore",12.99751482,77.54106537
R234,Davanagere Benne Dose,13900,"Jayanagar, Bangalore",12.91965819,77.59279612
R235,Bhartiya Jalpan,7270,"Indiranagar, Bangalore",12.96863832,77.64156774
R236,Kataria's,4920,"BTM, Bangalore",12.9163419,77.6165165
R237,LeanCrust Pizza- ThinCrust Experts,41,"Langford Town, Bangalore",12.961168,77.598239
R238,Beyond The Crust - BTC,1737,"BTM, Bangalore",12.92637,77.609474
R239,Antarastriya,3525,"Malleshwaram, Bangalore",12.99828481,77.57077418
R240,Upahara Darshini,8885,"Jayanagar, Bangalore",12.93289931,77.58433241
R241,Juicy,7324,"Old Airport Road, Bangalore",12.95904061,77.65538648
R242,Donne Biryani House,2559,"Vijay Nagar, Bangalore",12.96953713,77.53388073
R243,Ambur Hot Dum Biryani,312,"BTM, Bangalore",12.93184481,77.60730185
R244,FB Cakes,573,"BTM, Bangalore",12.9165259,77.60651998
R245,Kullad Cafe,38000,"BTM, Bangalore",12.9126743,77.61006787
R246,Antarastriya,4215,"Rajajinagar, Bangalore",12.99928447,77.54931651
R247,Eshanya Street Food Cafe,901,"Jayanagar, Bangalore",12.92326133,77.59314112
R248,The Thickshake Factory,1113,"Koramangala 5th Block, Bangalore",12.935401,77.620598
R249,Paris Panini - Gourmet Sandwiches,2374,"Indiranagar, Bangalore",12.97027945,77.64447257
R250,Wonder Sipp,458,"Vijay Nagar, Bangalore",12.97366067,77.53814008
R251,Sreeraj Lassi Bar,642,"Shanti Nagar, Bangalore",12.96000154,77.59795569
R252,Bucket Biryani,807,"Brigade Road, Bangalore",12.96713211,77.6089846
R253,Tharavadu,879,"Koramangala 5th Block, Bangalore",12.9371584,77.61963833
R254,The Taj Hotel,1142,"City Market, Bangalore",12.9640198,77.57763373
R255,Bake and Juice,14800,"Hosur Road, Bangalore",12.93170201,77.60740813
R256,Shyamji's Chole Bhature,280,"Koramangala 5th Block, Bangalore",12.935482,77.621205
R257,Kirti Kitchen,8097,"BTM, Bangalore",12.91913304,77.61811249
R258,Vidyarthi Bhavan,1066,"Basavanagudi, Bangalore",12.94512972,77.57147826
R259,Kolkata Famous Kati Rolls,173,"City Market, Bangalore",12.95722133,77.56748881
R260,Mumbai Xpress,3360,"Koramangala 5th Block, Bangalore",12.9336133,77.61559691
R261,Hyderabadi Biryani Hub,15500,"BTM, Bangalore",12.92200942,77.61652496
