Restaurant_id,name,urls,ratings,price for one,cuisine
R214,New Taj Darbar,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,3.5,250,"North Indian, Chinese, Mughlai, Biryani"
R215,Hakka Box,https://www.zomato.com/bangalore/hakka-box-domlur-bangalore/order,4,250,"Chinese, Thai, Momos, Sichuan"
R216,Brothers Biriyani,https://www.zomato.com/bangalore/brothers-biriyani-basavanagudi-bangalore/order,4.1,250,"Biryani, South Indian"
R217,The Dessert Zone,https://www.zomato.com/bangalore/the-dessert-zone-vasanth-nagar-bangalore/order,3.3,250,"Desserts, Bakery"
R218,Mealful Rolls - India's Biggest Rolls,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order,4.3,250,"Rolls, Fast Food, North Indian, Wraps, Beverages, Desserts"
R219,The Good Bowl,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order,4.2,250,"North Indian, Pasta, Italian"
R220,Sri Srinivas Pork Hotel,https://www.zomato.com/bangalore/sri-srinivas-pork-hotel-ejipura-bangalore/order,3.4,250,Fast Food
R221,Absolute Shawarma,https://www.zomato.com/bangalore/absolute-shawarma-thippasandra-bangalore/order,4.1,250,Shawarma
R222,Sri Durga Chats & Juice,https://www.zomato.com/bangalore/sri-durga-chats-juice-vijay-nagar-bangalore/order,4.2,250,"Fast Food, Street Food, Beverages, Desserts"
R223,Shawarma Time,https://www.zomato.com/bangalore/shawarma-time-1-rt-nagar-bangalore/order,3.7,250,"Lebanese, Rolls, Fast Food"
R224,Biryani Blues,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order,4.2,250,"Biryani, Kebab, Desserts, Hyderabadi, Beverages"
R225,TrueCakes,https://www.zomato.com/bangalore/truecakes-domlur-bangalore/order,4.3,300,"Bakery, Desserts"
R226,Hotel Karavali Food Point,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order,3.7,300,"Mangalorean, South Indian, North Indian, Chinese"
R227,Sree Banashankari Donne Biriyani,https://www.zomato.com/bangalore/sree-banashankari-donne-biriyani-basaveshwara-nagar-bangalore/order,4.1,300,"Biryani, South Indian"
