Index,Restaurant_id,C,Name,Ratings,Price for one,Cuisines,Delivery_reviews_Count,Restaurant_address,Latitude,Longtitude
594,R78, South Indian,RNR Biryani - Taste Of 1953,4.3,150,"Biryani, South Indian, Desserts, Beverages, Andhra",1912,"Jayanagar, Bangalore",12.92866203,77.5825065
595,R79, Japanese,Call Me Chow,4.2,150,"Chinese, Japanese, Thai, Indonesian, Asian",11400,"Koramangala 8th Block, Bangalore",12.94404979,77.61733599
596,R80, Beverages,Krispy Kreme,4.5,150,"Desserts, Beverages",949,"Richmond Road, Bangalore",12.9669276,77.6115022
597,R81, Desserts,Baskin Robbins,4.2,200,"Ice Cream, Desserts, Beverages",400,"Church Street, Bangalore",12.97521551,77.60392427
598,R82, North Indian,Royal Biryani Kitchen,3.4,200,"Biryani, North Indian, Mughlai, Fast Food, Beverages, Sichuan",33300,"BTM, Bangalore",12.9240083,77.6126
599,R84, Fast Food,Chaatimes,4.1,200,"Street Food, Fast Food",1383,"Brigade Road, Bangalore",12.97481039,77.60834724
600,R85, Fast Food,Donne Biryani House,3.6,200,"Biryani, Fast Food",2071,"BTM, Bangalore",12.91712687,77.60707654
601,R86, Wraps,Kaati Zone Rolls and Wraps,3.7,200,"Rolls, Wraps, Fast Food, Desserts, Shake, Beverages",365,"Vasanth Nagar, Bangalore",12.99221395,77.59427704
602,R87, Chinese,Vijayalakshmi Veg,4,200,"South Indian, Chinese, North Indian, Sichuan",16300,"Frazer Town, Bangalore",13.00091788,77.61280071
603,R88, Desserts,Cakewala,4.3,200,"Bakery, Desserts",3833,"Jayanagar, Bangalore",12.92897737,77.5862056
604,R89, Kebab,Madeena Hotel,4,200,"Biryani, Kebab, North Indian",25400,"Koramangala 5th Block, Bangalore",12.93521603,77.6157328
605,R90, Pizza,Hari Super Sandwich,3.8,200,"Sandwich, Pizza, Fast Food, Street Food",224,"Seshadripuram, Bangalore",12.988782,77.57753
606,R91, Chinese,Moriz Nano Restaurant,3.5,200,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake",1255,"Ulsoor, Bangalore",12.98757029,77.61894934
607,R92, Italian,Smoor,4.1,200,"Asian, Italian, Salad, Pizza, Sandwich, Burger, Desserts, Beverages",169,"Lavelle Road, Bangalore",12.97309398,77.60033591
608,R93, Tea,Chaayos Chai+Snacks=Relax,4.1,200,"Cafe, Tea, Beverages",547,"Cunningham Road, Bangalore",12.9885099,77.5938782
609,R94, Fast Food,Al Ameen Rolls Corner,3.8,200,"Rolls, Fast Food",5047,"Kammanahalli, Bangalore",13.01576905,77.63941292
610,R95, South Indian,Savi Sagar,3.8,200,"North Indian, South Indian, Chinese, Sandwich, Street Food, Ice Cream, Juices, Beverages",20600,"Malleshwaram, Bangalore",12.99647268,77.5636794
